city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
WTR-26-0005,,0,tpa-417fef4016218d,mp-863e7191d3b50138,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Swann Ave WM Replacement,2026-08-28T04:55:51+00:00
WTR-26-0006_Tampa Heights Phase I,,0,tpa-0b02b71e5595b6,mp-9f484a79f3025868,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Tampa Heights WM Replacement Phase I,2026-08-28T04:55:51+00:00
WTR-26-0006_Tampa Heights Phase II,,0,tpa-2048c8f04ec947,mp-759d113bfcbcbce7,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Tampa Heights WM Replacement Phase II,2026-08-28T04:55:51+00:00
WTR-26-0006_Tampa Heights Phase III,,0,tpa-1ba7d9bdab9565,mp-ec0cb34359442d95,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Tampa Heights WM Replacement Phase III,2026-08-28T04:55:51+00:00
WTR20001,,0,tpa-cd9ff596671203,mp-b1d4ab795bbb5322,core_capital_only,no_exact_identifier_match,,Planning,,DLT Master Plan,2026-08-28T04:55:51+00:00
WTR20004,,0,tpa-271c511449f1e3,mp-8c26233768afda94,core_capital_only,no_exact_identifier_match,,Closeout,,DLT WTF Building Improvements,2026-08-28T04:55:51+00:00
WTR20006,,0,tpa-e70b04f43c4362,mp-dea710fa90c62716,core_capital_only,no_exact_identifier_match,,Closeout,,North Embankment Remediation,2026-08-28T04:55:51+00:00
WUR-19-0036,,0,tpa-ec09b5aee38fe0,mp-b359d9c8cc2f94a1,core_capital_only,no_exact_identifier_match,,Construction in Progress,,The Heights WM Improvement Project Along Florida Ave from Scott St to Palm Ave (Phase I),2026-08-28T04:55:51+00:00
WUR-20-0009,,0,tpa-6b2e8e6ea29282,mp-ea045907e703ab2f,core_capital_only,no_exact_identifier_match,,Contract Negotiations,,COT S Manhattan Ave,2026-08-28T04:55:51+00:00
WUR-20-0019,,0,tpa-48ce4f012a0d8e,mp-3db5c68b903d9bec,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Brorein_Tampa St WM Abandonment,2026-08-28T04:55:51+00:00
WUR-20-0035,,0,tpa-0bbca492f94243,mp-9f9d9eebddb807ab,core_capital_only,no_exact_identifier_match,,Closeout,,Lower Peninsula,2026-08-28T04:55:51+00:00
WUR-22-0032,,0,tpa-2b64f75f74fca0,mp-84731470e9ec4ba4,core_capital_only,no_exact_identifier_match,,60% Design Completion,,S. Himes WM R&R,2026-08-28T04:55:51+00:00
