old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-ed6f3bdd8689ac,tpa-2ed8da642d70ff,connected_exact_normalized_project_names_across_capital_layers,CASS ST BRIDGE 105502 ELECTRICAL MECHANICAL REHABILITATION
tpa-e6105d094d275f,tpa-30d21feab70465,connected_exact_normalized_project_names_across_capital_layers,OLA AVE
tpa-edcdf5e2344c56,tpa-30d21feab70465,connected_exact_normalized_project_names_across_capital_layers,OLA AVE
tpa-064482adfecffc,tpa-353afe88aec810,connected_exact_normalized_project_names_across_capital_layers,SHERWOOD HEIGHTS PS FM RELOCATION
tpa-88f1459b6c2204,tpa-353afe88aec810,connected_exact_normalized_project_names_across_capital_layers,SHERWOOD HEIGHTS PS FM RELOCATION
tpa-0b28920ddd1c4c,tpa-37222f224d7341,connected_exact_normalized_project_names_across_capital_layers,EL PRADO BLVD COMPLETE STREETS SIDEWALKS OMAR AVE TO LOIS AVE LOIS AVE TO BAYSHORE BLVD
tpa-aac9c923f48c09,tpa-37222f224d7341,connected_exact_normalized_project_names_across_capital_layers,EL PRADO BLVD COMPLETE STREETS SIDEWALKS OMAR AVE TO LOIS AVE LOIS AVE TO BAYSHORE BLVD
tpa-2ac23816856fdf,tpa-3c9b63cd8b2149,connected_exact_normalized_project_names_across_capital_layers,JPA FDOT HEIGHT MULTIMODAL IMPROVEMENTS
tpa-acfdbd9ec87c5f,tpa-3c9b63cd8b2149,connected_exact_normalized_project_names_across_capital_layers,JPA FDOT HEIGHT MULTIMODAL IMPROVEMENTS
tpa-4a515e1f204704,tpa-42dcf7268b88bc,connected_exact_normalized_project_names_across_capital_layers,COPELAND PARK PUMP STATION
tpa-c3381e13253421,tpa-42dcf7268b88bc,connected_exact_normalized_project_names_across_capital_layers,COPELAND PARK PUMP STATION
tpa-3393ad84e8924e,tpa-446b264792bc1b,connected_exact_normalized_project_names_across_capital_layers,SULPHUR SPRINGS PS FM REHABILITATION
tpa-4b7334342ce60d,tpa-446b264792bc1b,connected_exact_normalized_project_names_across_capital_layers,SULPHUR SPRINGS PS FM REHABILITATION
tpa-ae77da0339dbb7,tpa-493189ec1964dd,connected_exact_normalized_project_names_across_capital_layers,GLEN AVE SIDEWALK AND SAFETY IMPROVEMENTS GREEN ST TO BEACH ST
tpa-d54b2533b8be75,tpa-493189ec1964dd,connected_exact_normalized_project_names_across_capital_layers,GLEN AVE SIDEWALK AND SAFETY IMPROVEMENTS GREEN ST TO BEACH ST
tpa-093638c461d770,tpa-4ada1f6c3013a6,connected_exact_normalized_project_names_across_capital_layers,VIRGINIA AVENUE PUMPING STATION DRAINAGE IMPROVEMENTS
tpa-abe4430c5891de,tpa-4ada1f6c3013a6,connected_exact_normalized_project_names_across_capital_layers,VIRGINIA AVENUE PUMPING STATION DRAINAGE IMPROVEMENTS
tpa-9dbbc0135f0178,tpa-4e0ddf4111d797,connected_exact_normalized_project_names_across_capital_layers,HOWARD F CURREN AWTP MASTER PLAN IMPROVEMENTS PHASE 2 DESIGN BUILD GMP NO 1
tpa-a8c6d8d37ecd65,tpa-4e0ddf4111d797,connected_exact_normalized_project_names_across_capital_layers,HOWARD F CURREN AWTP MASTER PLAN IMPROVEMENTS PHASE 2 DESIGN BUILD GMP NO 1
tpa-75210ea6420085,tpa-4ef4bb4c206a34,connected_exact_normalized_project_names_across_capital_layers,CITYWIDE DOCK BOARDWALK REPLACEMENT DAVIS ISLANDS SEAPLANE BASIN MOORING FIELD
tpa-83687d87f40be3,tpa-4ef4bb4c206a34,connected_exact_normalized_project_names_across_capital_layers,CITYWIDE DOCK BOARDWALK REPLACEMENT DAVIS ISLANDS SEAPLANE BASIN MOORING FIELD
tpa-f78f774d14b0f3,tpa-4ef4bb4c206a34,connected_exact_normalized_project_names_across_capital_layers,CITYWIDE DOCK BOARDWALK REPLACEMENT DAVIS ISLANDS SEAPLANE BASIN MOORING FIELD
tpa-3fc2665de8908f,tpa-55828ee72706f4,connected_exact_normalized_project_names_across_capital_layers,LANTANA POINSETTIA PUMP STATION
tpa-40fd06ecf0c771,tpa-55828ee72706f4,connected_exact_normalized_project_names_across_capital_layers,LANTANA POINSETTIA PUMP STATION
tpa-cc2e7facd50f23,tpa-55970080e03fd1,connected_exact_normalized_project_names_across_capital_layers,DREW PARK CRA MOBILITY CONNECTIVITY AND SAFETY IMPROVEMENTS
tpa-d00e492e32d8a0,tpa-55970080e03fd1,connected_exact_normalized_project_names_across_capital_layers,DREW PARK CRA MOBILITY CONNECTIVITY AND SAFETY IMPROVEMENTS
tpa-64733691ed879b,tpa-5a2f97b3a412d4,connected_exact_normalized_project_names_across_capital_layers,LAMB CANAL REHABILITATION FLOOD RELIEF
tpa-dc2c456cf309d4,tpa-5a2f97b3a412d4,connected_exact_normalized_project_names_across_capital_layers,LAMB CANAL REHABILITATION FLOOD RELIEF
tpa-3ae9a0cd0c32a8,tpa-5ab0e5aba72288,connected_exact_normalized_project_names_across_capital_layers,O BRIEN ST SEGMENT 1 CYPRESS ST TO SPRUCE ST
tpa-f29cd16ffc80d7,tpa-5ab0e5aba72288,connected_exact_normalized_project_names_across_capital_layers,O BRIEN ST SEGMENT 1 CYPRESS ST TO SPRUCE ST
tpa-636eb57bff0b3e,tpa-5b6b366122c269,connected_exact_normalized_project_names_across_capital_layers,OREGON PUMPING STATION REHABILITATION YEAR 2
tpa-7e3688a495b5cc,tpa-5b6b366122c269,connected_exact_normalized_project_names_across_capital_layers,OREGON PUMPING STATION REHABILITATION YEAR 2
tpa-57cfbcc1655083,tpa-60fa1e9349c074,connected_exact_normalized_project_names_across_capital_layers,DOYLE CARLTON DR LAUREL ST INTERSECTION IMPROVEMENTS
